318936,,0
341248,,5
343288,,10
351156,,15
353368,,20
355124,,25
357768,,31
359912,,36
362092,,41
364112,,46
366876,,51
370604,,56
371508,,61
373236,,66
376984,,71
378612,,77
380728,,82
382804,,87
385776,,92
387668,,97
389540,,102
391432,,107
393932,,112
396000,,117
398072,,122
399504,,127
401640,,133
403648,,138
406772,,143
408220,,148
410892,,153
412956,,158
414516,,163
416536,,168
418604,,174
421232,,179
423480,,184
425604,,189
427540,,194
429776,,199
431928,,204
434084,,210
435488,,215
437668,,220
439708,,225
442416,,230
444024,,235
446104,,240
448280,,245
451000,,251
453208,,256
454672,,261
457560,,266
459668,,271
461304,,276
463400,,281
505432,,287
