586736,,0
674636,,5
674640,,10
674644,,15
674648,,20
674648,,26
674648,,31
674648,,36
674648,,41
674648,,46
671080,,51
664860,,56
664368,,61
664540,,66
664616,,72
664684,,77
664696,,82
664744,,87
664772,,92
664776,,97
664984,,103
665004,,108
665016,,113
664624,,118
663624,,123
662648,,128
661892,,133
660812,,139
660084,,144
659540,,149
658844,,154
658048,,159
657200,,164
656400,,169
655476,,175
655436,,180
655360,,185
654692,,190
654124,,195
653616,,200
652696,,205
652200,,211
651356,,216
650916,,221
649832,,226
648640,,231
647464,,237
646536,,242
645236,,247
644052,,252
642872,,257
641756,,262
640472,,267
639508,,273
638364,,278
637736,,283
637612,,288
636700,,293
635884,,298
634996,,303
634028,,308
632656,,314
631584,,319
630624,,324
629776,,329
628768,,334
627504,,339
626240,,345
624980,,350
629876,,355
625792,,360
623760,,365
622404,,370
621076,,375
619900,,381
618976,,386
617616,,391
616536,,396
615264,,401
614272,,406
612756,,411
611660,,417
610336,,422
609376,,427
608184,,432
606936,,437
605880,,442
604872,,447
602612,,452
598656,,457
593216,,463
590324,,468
587976,,473
582728,,478
573024,,483
571516,,488
570760,,493
570160,,498
569648,,503
569024,,508
568180,,514
567840,,519
567536,,524
567300,,529
566156,,534
565840,,539
565704,,544
564908,,549
564732,,554
564420,,559
564160,,564
563744,,570
563420,,575
563020,,580
562920,,585
561856,,590
561476,,595
561068,,600
560664,,605
559888,,610
559636,,615
559356,,621
559068,,626
558792,,631
558500,,636
558216,,641
557956,,646
557712,,651
582260,,656
581840,,661
581380,,666
581000,,672
580584,,677
580040,,682
579676,,687
579288,,692
578916,,697
578588,,702
578188,,707
577836,,712
577540,,717
577180,,722
576868,,728
576432,,733
575648,,738
575300,,743
574992,,748
574636,,753
574284,,758
573896,,763
573480,,768
572952,,774
572272,,779
571548,,784
570936,,789
570584,,794
570192,,799
569796,,804
569424,,809
569052,,814
568700,,819
568304,,824
567948,,830
567584,,835
567224,,840
566776,,845
566012,,850
565496,,855
565116,,860
564780,,865
564396,,870
564012,,875
563676,,880
563296,,886
562936,,891
562596,,896
562280,,901
561928,,906
561580,,911
561308,,916
560940,,921
560636,,926
560280,,931
559924,,936
559604,,942
559296,,947
